source,target,weight
7,114.0,0.0969
7,40.0,0.189
7,13.0,0.0916
7,41.0,0.157
7,124.0,0.2316
7,169.0,0.1913
8,42.0,0.2305
8,41.0,0.1992
8,13.0,0.1359
8,44.0,0.2395
13,40.0,0.0983
13,169.0,0.0979
13,42.0,0.0959
13,124.0,0.139
141,122.0,0.1292
141,142.0,0.108
144,98.0,0.0119
144,116.0,0.0782
40,42.0,0.0105
40,169.0,0.0275
41,43.0,0.0968
41,42.0,0.0294
41,44.0,0.1054
41,124.0,0.0727
41,169.0,0.036
42,44.0,0.1028
169,44.0,0.1198
169,124.0,0.0425
44,124.0,0.113
43,100.0,0.1018
98,119.0,0.1022
113,116.0,0.1241
113,114.0,0.1057
119,120.0,0.1134
120,122.0,0.1184
