source,target,weight
1,2.0,0.1118
2,4.0,0.1015
4,76.0,0.1293
4,30.0,0.0705
4,14.0,0.0527
4,19.0,0.0981
4,22.0,0.077
6,149.0,0.1259
6,22.0,0.0758
6,14.0,0.0866
6,18.0,0.1509
137,19.0,0.0732
137,29.0,0.0319
137,101.0,0.1087
14,39.0,0.1022
14,149.0,0.0773
14,76.0,0.0896
14,52.0,0.0371
14,127.0,0.0944
14,19.0,0.1056
14,77.0,0.0898
18,22.0,0.135
18,127.0,0.1282
19,77.0,0.0962
19,20.0,0.1268
19,101.0,0.1616
19,165.0,0.0866
20,165.0,0.0386
20,101.0,0.0596
149,22.0,0.0548
149,39.0,0.0614
22,30.0,0.1136
22,52.0,0.0678
22,77.0,0.1063
29,30.0,0.1259
29,101.0,0.0753
29,165.0,0.0108
30,165.0,0.1142
30,76.0,0.092
30,52.0,0.0552
36,76.0,0.1101
39,127.0,0.0839
52,77.0,0.1065
