source,target,weight
7,114,0.0969
7,40,0.189
8,117,0.2478
8,42,0.2305
8,13,0.1359
13,40,0.0983
13,169,0.0979
13,7,0.0916
13,42,0.0959
13,117,0.1139
15,151,0.0398
15,152,0.0394
28,169,0.039
40,162,0.1247
41,7,0.157
41,117,0.0472
42,12,0.1006
42,117,0.0161
42,41,0.0294
42,40,0.0105
44,169,0.1198
44,42,0.1028
45,93,0.1024
45,106,0.0778
46,152,0.1161
46,162,0.1179
47,65,0.1121
48,49,0.0928
65,48,0.0958
65,72,0.0892
72,159,0.103
72,48,0.0047
72,162,1.0
78,46,0.1062
78,107,0.0421
84,13,0.0918
86,78,0.143
104,148,0.1089
104,147,0.083
104,108,0.1131
105,104,0.1165
107,105,0.1066
107,46,0.0704
108,146,0.0953
108,45,0.1082
108,148,0.0934
117,125,0.1196
117,40,0.0177
124,7,0.2316
124,13,0.139
124,169,0.0425
146,85,0.1133
146,92,0.0933
147,148,0.024
148,97,0.0949
148,146,0.0226
151,45,0.1079
151,108,0.0571
151,44,0.0602
152,157,0.1052
152,44,0.0607
152,108,0.0566
158,151,0.1052
159,50,0.1154
162,108,0.0905
162,151,0.0328
162,13,0.1677
162,40,0.1247
162,152,0.0334
169,40,0.0275
169,7,0.1913
169,41,0.036
