source,target,weight
1.0,2.0,0.1118
2.0,4.0,0.1015
4.0,76.0,0.1293
4.0,30.0,0.0705
4.0,14.0,0.0527
4.0,19.0,0.0981
4.0,22.0,0.077
3.0,16.0,0.1151
3.0,52.0,0.1076
76.0,14.0,0.0896
76.0,30.0,0.092
76.0,36.0,0.1101
30.0,22.0,0.1136
30.0,29.0,0.1259
30.0,165.0,0.1142
30.0,52.0,0.0552
14.0,39.0,0.1022
14.0,149.0,0.0773
14.0,52.0,0.0371
14.0,127.0,0.0944
14.0,19.0,0.1056
14.0,77.0,0.0898
18.0,22.0,0.135
18.0,109.0,0.1324
18.0,127.0,0.1282
149.0,22.0,0.0548
149.0,126.0,0.1168
149.0,39.0,0.0614
22.0,52.0,0.0678
22.0,77.0,0.1063
22.0,109.0,0.0395
7.0,114.0,0.0969
7.0,40.0,0.189
7.0,13.0,0.0916
7.0,41.0,0.157
7.0,124.0,0.2316
7.0,169.0,0.1913
114.0,113.0,0.1057
40.0,13.0,0.0983
40.0,162.0,0.1247
40.0,42.0,0.0105
40.0,117.0,0.0177
40.0,169.0,0.0275
8.0,117.0,0.2478
8.0,42.0,0.2305
8.0,41.0,0.1992
8.0,13.0,0.1359
8.0,44.0,0.2395
8.0,112.0,0.1417
117.0,13.0,0.1139
117.0,41.0,0.0472
117.0,42.0,0.0161
117.0,125.0,0.1196
42.0,13.0,0.0959
42.0,12.0,0.1006
42.0,41.0,0.0294
42.0,44.0,0.1028
41.0,43.0,0.0968
41.0,44.0,0.1054
41.0,124.0,0.0727
41.0,169.0,0.036
13.0,169.0,0.0979
13.0,84.0,0.0918
13.0,124.0,0.139
13.0,162.0,0.1677
11.0,28.0,0.1009
11.0,111.0,0.0973
28.0,169.0,0.039
12.0,139.0,0.0987
139.0,168.0,0.1243
169.0,44.0,0.1198
169.0,124.0,0.0425
39.0,164.0,0.1053
39.0,109.0,0.0706
39.0,127.0,0.0839
52.0,77.0,0.1065
127.0,125.0,0.1121
127.0,109.0,0.1145
15.0,44.0,0.102
15.0,151.0,0.0398
15.0,152.0,0.0394
15.0,147.0,0.1057
