source,target,weight
128,9.0,0.0416
128,34.0,0.1184
128,153.0,0.0639
128,10.0,0.0251
128,143.0,0.0231
129,9.0,0.0435
129,156.0,0.0764
129,153.0,0.0653
4,76.0,0.1293
4,30.0,0.0705
4,14.0,0.0527
4,22.0,0.077
5,18.0,0.1211
5,17.0,0.0964
5,153.0,0.0765
5,154.0,0.049
6,149.0,0.1259
6,22.0,0.0758
6,14.0,0.0866
6,18.0,0.1509
6,27.0,0.108
9,153.0,0.0931
10,143.0,0.0
14,39.0,0.1022
14,149.0,0.0773
14,76.0,0.0896
14,52.0,0.0371
14,127.0,0.0944
14,77.0,0.0898
143,154.0,0.1115
17,153.0,0.113
17,154.0,0.0881
17,60.0,0.0917
17,168.0,0.0693
18,22.0,0.135
18,109.0,0.1324
18,127.0,0.1282
149,22.0,0.0548
149,126.0,0.1168
149,39.0,0.0614
22,30.0,0.1136
22,52.0,0.0678
22,77.0,0.1063
22,109.0,0.0395
153,62.0,0.0993
153,167.0,0.0806
154,167.0,0.0486
154,168.0,0.1013
26,27.0,0.1026
26,32.0,0.0307
26,155.0,0.0809
26,31.0,0.0336
155,31.0,0.0776
155,34.0,0.0961
155,160.0,0.0814
156,33.0,0.0988
31,160.0,0.0337
160,32.0,0.031
160,110.0,0.0293
32,33.0,0.1072
161,109.0,0.1069
161,110.0,0.1106
30,76.0,0.092
30,52.0,0.0552
164,39.0,0.1053
164,167.0,0.1098
167,70.0,0.1079
167,62.0,0.0179
167,168.0,0.0508
39,109.0,0.0706
39,127.0,0.0839
52,77.0,0.1065
59,70.0,0.1169
62,111.0,0.0999
62,70.0,0.0998
109,127.0,0.1145
