epoch,loss
1,0.15276711117032737
2,0.10870201428908677
3,0.09347004368014279
4,0.08633769474302729
5,0.07785732924406018
6,0.07469239600357555
7,0.0692267632111907
8,0.06822350772009009
9,0.0645813788509085
10,0.06314148552094896
11,0.061775156208092256
12,0.059116854066295285
13,0.05809543866087638
14,0.05721718268025489
15,0.057964717148847524
16,0.0556872771343305
17,0.05444592383823225
18,0.05406481091908756
19,0.05394811489220176
20,0.05378836677187965
21,0.05372153271344446
22,0.05301558596658565
23,0.052618162983673666
24,0.05270974085267101
25,0.052709831501401606
26,0.0527989119956536
27,0.05126854267326139
28,0.05119046697481757
29,0.05118317086072195
30,0.050941328362872206
31,0.05105440518153565
32,0.05083983928142559
33,0.05055990105583554
34,0.05052438389421219
35,0.05057189298704976
36,0.05037986185579073
37,0.05008259466627524
38,0.050171543223162494
